date,US,EU,CN
1960-01-01,1.45797598627791,1.74118084746923,
1961-01-01,1.07072414764724,1.87084961406325,
1962-01-01,1.19877334820186,2.75266718866912,
1963-01-01,1.23966942148753,2.92164111900189,
1964-01-01,1.27891156462591,3.65673101579698,
1965-01-01,1.58516926383662,3.66648280262594,
1966-01-01,3.0150753768844,3.43237006366126,
1967-01-01,2.77278562259309,2.98754606695165,
1968-01-01,4.27179615288537,3.24282887679454,
1969-01-01,5.46238620028745,2.64808571111228,
1970-01-01,5.83825533848251,4.14064840027025,
1971-01-01,4.29276668813051,5.0163194330344,
1972-01-01,3.27227824655283,5.90625351724097,
1973-01-01,6.17776006377038,7.91554614965598,
1974-01-01,11.0548048048048,14.6648454356765,
1975-01-01,9.14314686496535,12.2270629206871,
1976-01-01,5.74481263549085,9.71142110935913,
1977-01-01,6.5016839947284,9.76746473607037,
1978-01-01,7.63096383885606,7.57369772258264,
1979-01-01,11.2544711292795,8.46533490414879,
1980-01-01,13.5492019749684,13.5400697127799,
1981-01-01,10.3347153402771,11.5097558377123,
1982-01-01,6.13142700027493,9.58492764677445,
1983-01-01,3.21243523316065,8.66927159808522,
1984-01-01,4.30053547523429,7.06765638328172,
1985-01-01,3.54564415209365,5.19562195429435,
1986-01-01,1.89804772234276,2.73605256111872,
1987-01-01,3.6645632175169,3.22415428117574,7.23383553065609
1988-01-01,4.07774110744413,3.06504079522199,18.8118179448753
1989-01-01,4.82700303008944,3.92726718218467,18.2456383621648
1990-01-01,5.39795643990325,3.97518340428825,3.05229012075233
1991-01-01,4.23496396453849,4.17862274798465,3.55668565220452
1992-01-01,3.02881967814969,5.2705899859293,6.35398134024869
1993-01-01,2.95165696638559,4.59790321006555,14.6100786356602
1994-01-01,2.60744159215453,4.4142555634662,24.2569897243361
1995-01-01,2.80541968853662,4.08646004554944,16.7912251650916
1996-01-01,2.93120419993441,3.02395109495527,8.31316028893909
1997-01-01,2.33768993730735,2.223054305268,2.78646505531882
1998-01-01,1.55227909874364,2.30647934035989,-0.773186011549318
1999-01-01,2.18802719697358,1.8991144190705,-1.40147268276465
2000-01-01,3.37685727149929,2.94756559977476,0.347811226864587
2001-01-01,2.82617111885407,2.85732893518829,0.719125609120114
2002-01-01,1.58603162650601,2.32690683615857,-0.731970902350244
2003-01-01,2.27009497336115,2.09523529072289,1.12760348729637
2004-01-01,2.67723669309172,2.21620788926273,3.82463743108159
2005-01-01,3.3927468454955,2.52392898747161,1.77641407667571
2006-01-01,3.22594410070404,2.72004750529271,1.6494309945586
2007-01-01,2.85267248150138,2.48231546689542,4.81676767378834
2008-01-01,3.839100296651,4.11407022033816,5.92525137041092
2009-01-01,-0.355546266299747,0.437175412792701,-0.728165250932898
2010-01-01,1.6400434423899,1.5205755786839,3.17532475269199
2011-01-01,3.156841568622,3.28801427219796,5.55389892257493
2012-01-01,2.06933726526067,2.54154474108009,2.61952432645541
2013-01-01,1.46483265562717,1.31023355618666,2.62105001748115
2014-01-01,1.62222297740817,0.220195628198753,1.92164162788521
2015-01-01,0.118627135552451,-0.0852072296963749,1.43702380935655
2016-01-01,1.26158320570536,0.166009884375616,2.00000182191943
2017-01-01,2.13011000365961,1.37503641525339,1.59313600071436
2018-01-01,2.44258329692817,1.6892396580413,2.07479039965576
2019-01-01,1.81221007526021,1.44123966942341,2.89923416358227
2020-01-01,1.23358439630629,0.186938139702131,2.41942189457782
2021-01-01,4.69785886363742,2.4865043812082,0.981015135544882
2022-01-01,8.00279982052121,8.47117645590892,1.97357555739051
2023-01-01,4.11633838374488,5.78431554960862,0.234836828893051
2024-01-01,2.94952520485207,,0.218128938439177
